station,name,year,month,precipitation_sum,max_temp_mean,min_temp_mean,avg_temp_mean,monthly_price_mean,monthly_price_last
GHM00065457,AKIM ODA,2018,1,0.0,90.77777777777777,71.42592592592592,81.77777777777777,1953.44689119171,2013.7
GHM00065445,SEFWI BEKWAI,2018,1,4.14,91.96825396825396,73.61587301587302,82.42857142857143,1953.44689119171,2013.7
GHM00065442,KUMASI,2018,1,0.0,91.91428571428571,72.74285714285713,81.52380952380952,1953.44689119171,2013.7
GHM00065439,SUNYANI,2018,1,0.0,92.97460317460317,69.01904761904763,81.0,1953.44689119171,2013.7
GHM00065432,WENCHI,2018,1,0.0,93.15789473684211,69.1263157894737,83.78947368421052,1953.44689119171,2013.7
GHM00065453,HO,2018,1,0.0,94.33333333333333,71.82936507936509,83.52380952380952,1953.44689119171,2013.7
GHM00065472,KOTOKA INTERNATIONAL,2018,2,0.0,90.40916666666666,77.97142857142856,83.5,2121.549880239521,2229.72
GHM00065467,TAKORADI,2018,2,0.0,90.83137254901962,77.0,83.3529411764706,2121.549880239521,2229.72
GHM00065465,AXIM,2018,2,0.2,90.60777777777778,77.31904761904761,83.13333333333334,2121.549880239521,2229.72
GHM00065459,KOFORIDUA,2018,2,0.52,95.13833333333334,75.0904761904762,84.35,2121.549880239521,2229.72
GHM00065457,AKIM ODA,2018,2,0.0,96.83333333333333,76.83333333333333,88.16666666666667,2121.549880239521,2229.72
GHM00065453,HO,2018,2,0.0,95.04777777777778,75.98888888888888,85.46666666666667,2121.549880239521,2229.72
GHM00065442,KUMASI,2018,2,0.91,95.38070175438597,75.60651629072682,84.3157894736842,2121.549880239521,2229.72
GHM00065439,SUNYANI,2018,2,1.42,95.8938596491228,74.49498746867168,85.6842105263158,2121.549880239521,2229.72
GHM00065432,WENCHI,2018,2,0.0,95.15882352941176,74.5,85.58823529411765,2121.549880239521,2229.72
GHM00065445,SEFWI BEKWAI,2018,2,3.7,95.98245614035088,77.27443609022556,86.36842105263158,2121.549880239521,2229.72
GHM00065472,KOTOKA INTERNATIONAL,2018,3,0.0,91.1926406926407,76.9671201814059,84.14285714285714,2503.616557377049,2540.41
GHM00065467,TAKORADI,2018,3,0.0,91.14924242424243,75.78125,83.75,2503.616557377049,2540.41
GHM00065465,AXIM,2018,3,0.12000000000000001,90.66727272727272,78.39642857142857,84.45,2503.616557377049,2540.41
GHM00065459,KOFORIDUA,2018,3,1.1800000000000002,93.91125541125541,74.17687074829932,83.19047619047619,2503.616557377049,2540.41
GHM00065457,AKIM ODA,2018,3,0.0,93.81818181818181,75.01515151515152,84.72727272727273,2503.616557377049,2540.41
GHM00065445,SEFWI BEKWAI,2018,3,3.0999999999999996,94.33203463203463,75.43197278911565,84.19047619047619,2503.616557377049,2540.41
GHM00065442,KUMASI,2018,3,5.04,91.66969696969697,73.19166666666666,81.05,2503.616557377049,2540.41
GHM00065439,SUNYANI,2018,3,0.0,92.66577540106951,74.81512605042018,83.0,2503.616557377049,2540.41
GHM00065432,WENCHI,2018,3,2.17,92.35454545454544,73.28095238095239,82.75,2503.616557377049,2540.41
GHM00065453,HO,2018,3,0.0,94.08181818181818,75.71875,83.75,2503.616557377049,2540.41
GHM00065472,KOTOKA INTERNATIONAL,2018,4,0.0,90.53386243386244,77.11673881673882,83.85714285714286,2618.356975308642,2746.23
GHM00065467,TAKORADI,2018,4,0.04,89.73185185185186,76.88300144300143,83.73333333333333,2618.356975308642,2746.23
GHM00065465,AXIM,2018,4,1.6599999999999997,89.92592592592592,77.21979797979797,84.13333333333334,2618.356975308642,2746.23
GHM00065459,KOFORIDUA,2018,4,0.32,92.25123456790124,75.44999999999999,83.38888888888889,2618.356975308642,2746.23
GHM00065457,AKIM ODA,2018,4,0.39,91.8,76.6,86.0,2618.356975308642,2746.23
GHM00065445,SEFWI BEKWAI,2018,4,1.42,92.77058823529411,75.65001273236568,83.88235294117646,2618.356975308642,2746.23
GHM00065442,KUMASI,2018,4,3.67,90.78765432098766,74.3553391053391,81.38888888888889,2618.356975308642,2746.23
GHM00065439,SUNYANI,2018,4,0.43,91.71481481481482,74.83997113997114,81.94444444444444,2618.356975308642,2746.23
GHM00065432,WENCHI,2018,4,1.19,91.55614035087719,73.94329004329003,82.36842105263158,2618.356975308642,2746.23
GHM00065453,HO,2018,4,0.55,93.16805555555555,75.40113636363637,85.5,2618.356975308642,2746.23
GHM00065459,KOFORIDUA,2018,5,10.58,90.14449760765551,74.10672514619883,80.78947368421052,2648.730285714286,2463.66
GHM00065472,KOTOKA INTERNATIONAL,2018,5,3.6,89.05399449035814,75.19646464646465,81.63636363636364,2648.730285714286,2463.66
GHM00065467,TAKORADI,2018,5,2.9000000000000004,87.72878787878787,74.96913580246913,81.5,2648.730285714286,2463.66
GHM00065465,AXIM,2018,5,3.9,87.12691622103387,74.76045751633987,81.23529411764706,2648.730285714286,2463.66
GHM00065457,AKIM ODA,2018,5,0.47,88.16666666666667,73.35185185185185,80.83333333333333,2648.730285714286,2463.66
GHM00065453,HO,2018,5,0.13,90.4493265993266,74.41975308641976,81.72222222222223,2648.730285714286,2463.66
GHM00065445,SEFWI BEKWAI,2018,5,4.51,90.57181818181819,74.83194444444445,81.75,2648.730285714286,2463.66
GHM00065442,KUMASI,2018,5,1.4000000000000001,89.23378787878788,74.19333333333334,80.35,2648.730285714286,2463.66
GHM00065439,SUNYANI,2018,5,1.58,88.78295454545454,73.44097222222223,80.75,2648.730285714286,2463.66
GHM00065432,WENCHI,2018,5,0.9099999999999999,89.34545454545454,73.16052631578947,80.84210526315789,2648.730285714286,2463.66
GHM00065472,KOTOKA INTERNATIONAL,2018,6,0.12000000000000001,87.89749373433584,74.66507936507936,80.19047619047619,2411.8509574468085,2476.76
GHM00065467,TAKORADI,2018,6,1.6800000000000002,86.21378446115288,73.84656084656085,80.52380952380952,2411.8509574468085,2476.76
GHM00065465,AXIM,2018,6,2.6,86.12202729044833,74.27407407407408,79.88888888888889,2411.8509574468085,2476.76
GHM00065459,KOFORIDUA,2018,6,1.8,88.12756892230576,72.96137566137565,80.57142857142857,2411.8509574468085,2476.76
GHM00065457,AKIM ODA,2018,6,0.0,87.75,73.71428571428571,82.28571428571429,2411.8509574468085,2476.76
GHM00065453,HO,2018,6,0.39000000000000007,88.20087719298245,73.0,79.88888888888889,2411.8509574468085,2476.76
GHM00065445,SEFWI BEKWAI,2018,6,3.07,88.76013157894737,73.30722222222222,80.35,2411.8509574468085,2476.76
GHM00065442,KUMASI,2018,6,8.55,87.4468671679198,72.5058201058201,78.66666666666667,2411.8509574468085,2476.76
GHM00065439,SUNYANI,2018,6,4.48,86.65789473684211,72.02222222222221,78.1,2411.8509574468085,2476.76
GHM00065432,WENCHI,2018,6,2.6,87.00843776106933,71.66296296296296,78.61904761904762,2411.8509574468085,2476.76
GHM00065472,KOTOKA INTERNATIONAL,2018,7,0.0,84.92310606060606,75.18636363636364,78.9090909090909,2356.3467664670657,2179.75
GHM00065465,AXIM,2018,7,2.88,83.89298245614036,75.25175438596492,78.84210526315789,2356.3467664670657,2179.75
GHM00065459,KOFORIDUA,2018,7,2.6399999999999997,85.42850877192983,73.23947368421052,78.78947368421052,2356.3467664670657,2179.75
GHM00065457,AKIM ODA,2018,7,0.16,86.0,74.05,80.0,2356.3467664670657,2179.75
GHM00065467,TAKORADI,2018,7,0.73,84.36271929824561,74.53157894736842,78.89473684210526,2356.3467664670657,2179.75
GHM00065445,SEFWI BEKWAI,2018,7,4.0600000000000005,86.24649122807018,73.86315789473684,78.89473684210526,2356.3467664670657,2179.75
GHM00065442,KUMASI,2018,7,4.33,84.99285714285713,72.3984126984127,77.0,2356.3467664670657,2179.75
GHM00065439,SUNYANI,2018,7,4.18,84.8775,72.12,77.3,2356.3467664670657,2179.75
GHM00065432,WENCHI,2018,7,0.8400000000000001,85.6449074074074,72.04722222222222,77.77777777777777,2356.3467664670657,2179.75
GHM00065453,HO,2018,7,1.1400000000000001,85.25,73.20833333333333,78.66666666666667,2356.3467664670657,2179.75
GHM00065472,KOTOKA INTERNATIONAL,2018,8,0.94,84.70144927536231,73.88405797101449,77.95652173913044,2166.96245398773,2281.3
GHM00065467,TAKORADI,2018,8,0.63,83.82291666666667,72.83928571428571,78.3125,2166.96245398773,2281.3
GHM00065465,AXIM,2018,8,0.41000000000000003,82.86666666666666,74.37777777777778,78.8,2166.96245398773,2281.3
GHM00065459,KOFORIDUA,2018,8,0.63,86.2984126984127,72.0421768707483,78.9047619047619,2166.96245398773,2281.3
GHM00065457,AKIM ODA,2018,8,0.0,87.25,71.8,81.0,2166.96245398773,2281.3
GHM00065453,HO,2018,8,0.24,84.83333333333333,71.86111111111111,79.5,2166.96245398773,2281.3
